,County,TotalBeds,TotalHospitals,TotalPositives,TotalTests,Population,CaseLoad
0,Albany,0.18411413148255254,0.32,0.019848869949603068,0.09478628817537404,0.1173919754762263,0.05393475589988811
1,Allegany,0.024387892808945433,0.04000000000000001,0.0006076579261518888,0.004315875219375778,0.016287645497433292,0.009971769228044075
2,Bronx,0.8818199344515134,0.8826666666666666,0.69260187523236,0.7332273302549083,0.5537155658013742,0.4246116982472641
3,Broome,0.11818006554848659,0.17333333333333334,0.004989423990003475,0.021036153927234638,0.07261297333691177,0.018284411225480773
4,Cattaraugus,0.04024484287642183,0.06933333333333333,0.0007606772402828643,0.006905649535482741,0.028081799692522016,0.006224696242855404
5,Cayuga,0.031521110468478886,0.032,0.000763439321765369,0.007571221285537749,0.02820009028869111,0.009299066602826506
6,Chautauqua,0.06713900134952766,0.07999999999999999,0.0005402631379786832,0.00833596845922506,0.04789993468807739,0.0
7,Chemung,0.05480046269519953,0.03733333333333333,0.0019489246940580518,0.012998957661313926,0.030957230774481495,0.014949626724695908
8,Chenango,0.03108733371891266,0.050666666666666665,0.0017738087280669973,0.006202450928723027,0.01671659434780383,0.026754714388282225
9,Clinton,0.04814921920185078,0.06133333333333332,0.0011937716167401968,0.006297390216170026,0.029576915260495287,0.009238764954006967
10,Columbia,0.04458261037208405,0.050666666666666665,0.00336421524569544,0.011610252545980138,0.02151802903820825,0.036451367662952955
11,Cortland,0.03311162521688836,0.04266666666666666,0.0004640296890614376,0.00975482489681892,0.016827903859608848,0.003817972837803524
12,Delaware,0.020291112396375544,0.05333333333333333,0.0010926794344803953,0.005522177294260203,0.015549589744942208,0.025362287623390822
13,Dutchess,0.1448332369385001,0.168,0.05458701633881681,0.11943337442385434,0.11219533384321105,0.20029333446275854
14,Erie,0.4429342587237324,0.432,0.05874671105147471,0.13073364147486313,0.354982322343038,0.06752559609525054
15,Essex,0.017013688066319643,0.04799999999999999,0.0003850341586617012,0.00287533973189244,0.012746684372765077,0.009352764447378509
16,Franklin,0.019953730480046256,0.05333333333333333,0.0002364341749027249,0.0030278406345632253,0.01778586376956838,0.0034384099074713514
17,Fulton,0.0379313668787353,0.05333333333333333,0.0010363329722372222,0.006001608236643516,0.01906495356027546,0.010776037308079883
18,Genesee,0.031183728552149598,0.032,0.0024300792883110434,0.008161290137701838,0.020585278599563453,0.037837647750934816
19,Greene,0.012531328320802004,0.010666666666666658,0.002226790091198416,0.008665141159271,0.016699141636893636,0.08886619853835678
20,Hamilton,0.0,0.0,0.0,0.0,0.0,0.5472406938573231
21,Herkimer,0.030412569886254084,0.04000000000000001,0.0010993084300384148,0.006026526684792338,0.0222615145229825,0.015667514145887435
22,Jefferson,0.05099286678234047,0.11466666666666667,0.0011180905841194771,0.013306949680433361,0.041623164168731255,0.0076591157509787455
23,Kings,1.0,1.0,0.8710594074009421,0.9368539113615915,1.0,0.47150764881747564
24,Lewis,0.009350298823983028,0.021333333333333343,9.335835410878568e-05,0.002360275408656326,0.008537478339246576,0.004569198516987144
25,Livingston,0.021062271062271043,0.032,0.001147921064130572,0.007329013969531201,0.022802160723178283,0.02567083109876235
26,Madison,0.026267592057065747,0.06133333333333332,0.00309684575818861,0.0108355379930333,0.025737318860252656,0.058987603992053037
27,Monroe,0.38278388278388276,0.6106666666666667,0.02714518439379769,0.12424163817865082,0.28623997244798705,0.03380891945040407
28,Montgomery,0.03706381337960285,0.05866666666666666,0.0008645315040251844,0.005354476138218628,0.017460855508618547,0.008663268214342074
29,Nassau,0.7031039136302295,0.4773333333333334,0.6945585337545692,0.803535479260251,0.5250973861268788,0.53519602222893
30,New York,0.9421631000578369,0.8933333333333333,0.4396565296434871,0.5840804507049554,0.6299524975992826,0.2502626214793951
31,Niagara,0.0982745324850588,0.12533333333333332,0.007443257179064092,0.021633199944880388,0.07989424432864463,0.03650456905452912
32,Oneida,0.18387314439946018,0.21866666666666668,0.007771944875482606,0.0279223670731613,0.0873190153878613,0.01823418440330249
33,Onondaga,0.26122999807210334,0.25066666666666665,0.0155715105657903,0.09438834055843737,0.17738741450110843,0.027653294180445487
34,Ontario,0.04993252361673413,0.10133333333333333,0.001639019151720586,0.013056020907574725,0.040889762472482896,0.01352834114448953
35,Orange,0.11678234046655099,0.16,0.1579540489076244,0.22452892296735857,0.14641544588185834,0.7299161334788019
36,Orleans,0.01677270098322728,0.023999999999999994,0.0013125411204880783,0.004665979415866717,0.014031203895755351,0.03818285305129536
37,Oswego,0.03499132446500866,0.09866666666666665,0.0011142236700439623,0.01265034857171192,0.04400565312698282,0.013256355525357477
38,Otsego,0.03696741854636591,0.13866666666666666,0.001125824412270493,0.009580146575295698,0.02145326008883043,0.01247011707375198
39,Putnam,0.024436090225563922,0.023999999999999994,0.016806160988471625,0.03232446012313202,0.03663440371455742,0.35915027124015797
40,Queens,0.8544438018122229,0.6053333333333333,1.0,1.0,0.8821267175406725,0.6351376778567783
41,Rensselaer,0.0764893001735107,0.11466666666666667,0.004880045563296145,0.030480744144600752,0.06011799583927372,0.030071426112915342
42,Richmond,0.2515905147484095,0.17333333333333334,0.22455225278127797,0.2726364789634723,0.18296064685176364,0.4820010994846897
43,Rockland,0.1220840562945826,0.10666666666666666,0.2257620444706167,0.2611361167738285,0.12459723021599474,1.0
44,Saratoga,0.04578754578754579,0.144,0.006716829749164335,0.04496234947076955,0.08754628846771403,0.07464899834127693
45,Schenectady,0.08940620782726046,0.10400000000000001,0.008163608029702327,0.03474528736078997,0.058530962660506766,0.04494724242485103
46,Schoharie,0.0014459224985540753,0.008000000000000007,0.0005529687127982241,0.004305160286671786,0.010340925133299941,0.14055380668963113
47,Schuyler,0.006217466743782513,0.013333333333333336,5.3584380760668404e-05,0.0027078877603323726,0.005227280836613155,0.005732840943844852
48,Seneca,0.013254289570079042,0.010666666666666658,0.0005281099794556404,0.0035381704526510904,0.011583170312085514,0.01867113371528467
49,Steuben,0.04067861962598804,0.06933333333333333,0.003712789928788013,0.014768167479880218,0.0354336572039361,0.04492567146993419
50,Suffolk,0.6020339309812994,0.5333333333333332,0.6326923278767492,0.7614975588642271,0.5727045031096851,0.5695682390173822
51,Sullivan,0.03754578754578754,0.04533333333333334,0.014512528525396515,0.030651186329938684,0.027561321069378017,0.20255377844375821
52,Tioga,0.013109697320223629,0.015999999999999986,0.0011225099144914902,0.006205441142500864,0.017113740480515796,0.04204159426631125
53,Tompkins,0.03393098129940235,0.055999999999999994,0.0027880450484441405,0.03257763155632404,0.038147359831461114,0.04007834518192474
54,Ulster,0.08232118758434548,0.12,0.021878999839246863,0.0643052948462918,0.06754780879275332,0.13937487148646904
55,Warren,0.042317331791016,0.09066666666666666,0.002580336520959514,0.011870899513616806,0.02320473658817343,0.028706246484543674
56,Washington,0.02636398689030267,0.023999999999999994,0.0021803871222922655,0.008297344864594394,0.022014849542118436,0.040398515960921005
57,Wayne,0.035232311548101025,0.06666666666666667,0.001267795400471436,0.010461761270800979,0.03321056967199763,0.015457693040007436
58,Westchester,0.5920570657412763,0.5493333333333332,0.5861529121453695,0.8677318804881325,0.3735570486457471,0.5362627382733295
59,Wyoming,0.013688066319645253,0.018666666666666665,0.0010252846463071758,0.004506002978751297,0.01382681325909596,0.036549217663967334
60,Yates,0.01103720840562944,0.018666666666666665,0.0001624103911714997,0.0018397290268274413,0.007914610478762768,0.006367701159654432
61,St. Lawrence,0.05359552727973779,0.11466666666666667,0.002837762515129308,0.016119744107472272,0.04018506078973129,0.7175094476977472
